,fraud_count,legit_count,fraud_ratio,total_count
multidiscipline,7,2,2.3333333333333335,9
bucks,9,3,2.25,12
ust,18,7,2.25,25
cuts,11,4,2.2,15
vessel,37,16,2.176470588235294,53
compression,21,9,2.1,30
fossil,4,1,2.0,5
logbook,4,1,2.0,5
mateo,14,6,2.0,20
sterile,6,2,2.0,8
equality,4,1,2.0,5
getters,4,1,2.0,5
villages,4,1,2.0,5
sip,4,1,2.0,5
urgently,28,13,2.0,41
paychecks,6,2,2.0,8
thoroughness,10,4,2.0,14
lte,4,1,2.0,5
readings,4,1,2.0,5
gbp,6,2,2.0,8
geotechnical,6,2,2.0,8
asc,10,4,2.0,14
insurancelong,6,2,2.0,8
indexed,6,2,2.0,8
wealthy,6,2,2.0,8
hood,9,4,1.8,13
casualty,7,3,1.75,10
singular,7,3,1.75,10
agronomic,7,3,1.75,10
eit,5,2,1.6666666666666667,7
recieve,10,5,1.6666666666666667,15
intends,5,2,1.6666666666666667,7
kentucky,5,2,1.6666666666666667,7
cancel,5,2,1.6666666666666667,7
tender,16,9,1.6,25
hyatt,8,4,1.6,12
harsh,3,1,1.5,4
enroll,6,3,1.5,9
upholds,3,1,1.5,4
logix,3,1,1.5,4
boys,3,1,1.5,4
slicks,3,1,1.5,4
discrepancy,3,1,1.5,4
mou,3,1,1.5,4
opportunitiesdeveloping,3,1,1.5,4
ofthe,3,1,1.5,4
anesthesia,3,1,1.5,4
francis,3,1,1.5,4
surgeons,3,1,1.5,4
fearlessly,3,1,1.5,4
boomers,6,3,1.5,9
calibrated,6,3,1.5,9
alphabetic,9,5,1.5,14
remained,3,1,1.5,4
shortly,23,15,1.4375,38
motors,14,9,1.4,23
knocking,7,4,1.4,11
annuities,7,4,1.4,11
petroleum,68,48,1.3877551020408163,116
grass,11,7,1.375,18
economical,8,5,1.3333333333333333,13
requisition,8,5,1.3333333333333333,13
encounters,4,2,1.3333333333333333,6
cpi,4,2,1.3333333333333333,6
bsn,4,2,1.3333333333333333,6
immune,4,2,1.3333333333333333,6
customise,4,2,1.3333333333333333,6
transformers,4,2,1.3333333333333333,6
bls,9,6,1.2857142857142858,15
subcontracted,5,3,1.25,8
shortcomings,5,3,1.25,8
intervals,5,3,1.25,8
optician,16,12,1.2307692307692308,28
magnetic,6,4,1.2,10
cfr,7,5,1.1666666666666667,12
growers,7,5,1.1666666666666667,12
scaffolding,7,5,1.1666666666666667,12
offshore,61,54,1.1090909090909091,115
onshore,12,10,1.0909090909090908,22
optical,29,26,1.0740740740740742,55
menus,15,13,1.0714285714285714,28
surgical,19,17,1.0555555555555556,36
oil,195,190,1.0209424083769634,385
seekers,22,21,1.0,43
banqueting,3,2,1.0,5
occurrences,4,3,1.0,7
serviceswe,3,2,1.0,5
differentiates,3,2,1.0,5
shrink,6,5,1.0,11
ieooui,3,2,1.0,5
recklessly,4,3,1.0,7
misusing,4,3,1.0,7
req,7,6,1.0,13
gas,186,185,1.0,371
calibrate,3,2,1.0,5
jsa,3,2,1.0,5
convallis,3,2,1.0,5
moderating,3,2,1.0,5
jcaho,3,2,1.0,5
flood,3,2,1.0,5
shoulders,3,2,1.0,5
elizabeth,3,2,1.0,5
realising,5,4,1.0,9
americans,6,5,1.0,11
foreclosure,6,5,1.0,11
resins,3,2,1.0,5
afternoon,19,18,1.0,37
quam,3,2,1.0,5
applicability,3,2,1.0,5
closeout,3,2,1.0,5
stratford,3,2,1.0,5
pneumatics,3,2,1.0,5
discussed,26,25,1.0,51
steam,10,9,1.0,19
exploration,29,29,0.9666666666666667,58
appraisal,32,33,0.9411764705882353,65
decide,30,31,0.9375,61
wells,15,15,0.9375,30
ice,13,13,0.9285714285714286,26
approves,11,11,0.9166666666666666,22
webcam,11,11,0.9166666666666666,22
bahrain,32,34,0.9142857142857143,66
surgery,18,19,0.9,37
photographers,21,23,0.875,44
staffs,7,7,0.875,14
